gtdb_species_clade_id,env_broad_scale,n_genomes_in_env
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,terrestrial biome,3
s__Prevotella_sp015074785--RS_GCF_015074785.1,watercourse,13
s__Agathobacter_rectalis--GB_GCA_000020605.1,feces,3
s__Yersinia_enterocolitica--RS_GCF_901472495.1,human-associated habitat,1
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,human-associated habitat,1
s__Streptococcus_thermophilus--RS_GCF_010120595.1,food material,3
s__Bacillus_subtilis--RS_GCF_000009045.1,ocean,1
s__Staphylococcus_hominis--RS_GCF_002901845.1,urban biome,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,soil,2
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,,77
s__Enterococcus_B_lactis--RS_GCF_015751045.1,,23
s__Serratia_ureilytica--RS_GCF_013375155.1,,3
s__Streptococcus_anginosus--RS_GCF_900636475.1,feces,1
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,biome,4
s__Mycoplasmopsis_bovis--RS_GCF_000183385.1,agricultural ecosystem,23
s__Klebsiella_oxytoca--RS_GCF_001598695.1,Homo sapiens,1
s__Bacillus_safensis--RS_GCF_000691165.1,field,1
s__Klebsiella_ornithinolytica--RS_GCF_001598295.1,terrestrial biome,1
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,Bos,3
s__Enterococcus_B_faecium--RS_GCF_001544255.1,dairy food product,3
s__Bacillus_subtilis--RS_GCF_000009045.1,polar biome,1
s__Acinetobacter_soli--RS_GCF_000760595.1,liquid water,1
s__Mannheimia_haemolytica--RS_GCF_004342115.1,livestock-associated habitat,5
s__Bifidobacterium_globosum--RS_GCF_000741295.1,19650 - chicken fresh meat (efsa foodex2),1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,food material,20
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,marine biome,1
s__Enterobacter_cloacae--RS_GCF_000025565.1,,5
s__Citrobacter_portucalensis--RS_GCF_002042885.1,farmyard manure,6
s__Clostridium_butyricum--RS_GCF_006742065.1,feces,3
s__Sarcina_perfringens--RS_GCF_000013285.1,feces,4
s__Alistipes_onderdonkii--GB_GCA_025145285.1,Homo sapiens,3
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,area of cropland,1
s__Streptococcus_sp001556435--RS_GCF_009738225.1,human-associated habitat,2
s__Bifidobacterium_infantis--RS_GCF_000269965.1,feces,3
s__Bacillus_A_tropicus--RS_GCF_001884035.1,farm,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,intestine,1
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,activated sludge,1
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,terrestrial biome,1
s__Priestia_megaterium--RS_GCF_000832985.1,agricultural soil,1
s__Bacillus_licheniformis--RS_GCF_000011645.1,alimentary part of gastrointestinal system,1
s__Faecalibacterium_longum--RS_GCF_020687245.1,,39
s__Mycoplasmoides_pneumoniae--RS_GCF_001272835.1,,64
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,,6
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,,14
s__Yersinia_enterocolitica--RS_GCF_901472495.1,,2
s__Pseudomonas_E_cerasi--RS_GCF_900074915.1,farm,19
s__Citrobacter_portucalensis--RS_GCF_002042885.1,liquid water,2
s__Faecalibacillus_intestinalis--RS_GCF_003024685.1,feces,2
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,skin environment,4
s__Bacteroides_fragilis--RS_GCF_000025985.1,polar biome,1
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,farm,1
s__Klebsiella_ornithinolytica--RS_GCF_001598295.1,waste water,1
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,19650 - chicken fresh meat (efsa foodex2),1
s__Bacillus_velezensis--RS_GCF_001461825.1,rumen,1
s__Levilactobacillus_brevis--RS_GCF_001433855.1,watercourse,1
s__Lactobacillus_crispatus--RS_GCF_018987235.1,biome,1
s__Lactococcus_lactis--RS_GCF_900099625.1,,31
s__Brucella_melitensis--RS_GCF_000007125.1,vertebrate animal,6
s__Rhizobium_leguminosarum_L--RS_GCF_000009265.1,root,13
s__Bacteroides_uniformis--GB_GCA_025147485.1,human-associated habitat,17
s__Parabacteroides_distasonis--RS_GCF_000012845.1,intestine,1
s__Pseudomonas_E_cerasi--RS_GCF_900074915.1,orchard,1
s__Flavonifractor_plautii--RS_GCF_000239295.1,feces,1
s__Francisella_tularensis--RS_GCF_000008985.1,lymph,1
s__Bacillus_A_tropicus--RS_GCF_001884035.1,field soil,1
s__Anaerostipes_hadrus--RS_GCF_000332875.2,microcosm,1
s__Parabacteroides_merdae--GB_GCA_025151215.1,terrestrial biome,5
s__Bifidobacterium_animalis--RS_GCF_000260715.1,watercourse,3
s__Xanthomonas_arboricola--RS_GCF_001013475.1,hazelnut,2
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,table,1
s__Micrococcus_luteus--RS_GCF_000023205.1,groundwater,1
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,saline marsh,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,human-associated habitat,1
s__Weissella_confusa--GB_GCA_001436895.1,human-associated habitat,2
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,watercourse,1
s__Weissella_cibaria--RS_GCF_000193635.1,food material,4
s__Clostridioides_difficile--RS_GCF_001077535.1,terrestrial biome,5
s__Aeromonas_dhakensis--RS_GCF_000820305.1,constructed swimming pool,1
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,fresh water,3
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,Homo sapiens,7
s__Serratia_ureilytica--RS_GCF_013375155.1,biome,1
s__Staphylococcus_capitis--RS_GCF_002902325.1,human-associated habitat,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,feces,2
s__Pasteurella_multocida--RS_GCF_900187275.1,buffalo,1
s__Lactobacillus_gasseri--RS_GCF_000014425.1,,15
s__Aeromonas_dhakensis--RS_GCF_000820305.1,terrestrial biome,1
s__Sphingomonas_koreensis--RS_GCF_002797435.1,environmental system,55
s__Staphylococcus_xylosus--RS_GCF_002732165.1,human-associated habitat,2
s__Micrococcus_luteus--RS_GCF_000023205.1,Homo sapiens,1
s__Staphylococcus_hominis--RS_GCF_002901845.1,farm,1
s__Blautia_A_wexlerae--GB_GCA_025148125.1,fecal environment,2
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,liquid water,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,,131
s__Priestia_megaterium--RS_GCF_000832985.1,coral reef,1
s__Lactococcus_lactis--RS_GCF_900099625.1,human-associated habitat,2
s__Curtobacterium_flaccumfaciens--RS_GCF_013359815.1,agricultural field,15
s__Lactococcus_lactis--RS_GCF_900099625.1,bioreactor,3
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,terrestrial biome,4
s__Acinetobacter_sp002018365--RS_GCF_002018365.1,terrestrial biome,5
s__Bacteroides_fragilis--RS_GCF_000025985.1,digestive system,2
s__Pseudomonas_E_monteilii--RS_GCF_000730605.1,environmental system,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,dairy food product,2
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,food processing building,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,watercourse,1
s__Glaesserella_parasuis--RS_GCF_002015085.1,undersea feature,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,liquid water,1
s__Streptococcus_uberis--RS_GCF_900475595.1,,21
s__Erwinia_amylovora--RS_GCF_017161565.1,,5
s__Neisseria_meningitidis--RS_GCF_900638555.1,,4
s__Xanthomonas_oryzae--RS_GCF_004136375.1,rice field,3
s__Aggregatibacter_actinomycetemcomitans--RS_GCF_000372365.1,periodontitis,1
s__Streptococcus_sp001556435--RS_GCF_009738225.1,biofilm,2
s__Citrobacter_werkmanii--GB_GCA_000759755.1,Homo sapiens,1
s__Burkholderia_contaminans--RS_GCF_000987075.1,oil contaminated soil,1
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,temperate broadleaf forest biome,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,biome,1
s__Pseudomonas_E_tremae--RS_GCF_001401155.1,,7
s__Enterococcus_B_durans--RS_GCF_001544215.1,,1
s__Burkholderia_cepacia--RS_GCF_001411495.1,,4
s__Stenotrophomonas_sepilia--RS_GCF_003244875.1,,1
s__Parabacteroides_distasonis--RS_GCF_000012845.1,biome,38
s__Yersinia_pestis--RS_GCF_900460465.1,terrestrial biome,59
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,garden,1
s__Methanosarcina_mazei--RS_GCF_000970205.1,sludge,3
s__Staphylococcus_ureilyticus--RS_GCF_002902235.1,biome,1
s__Alistipes_onderdonkii--GB_GCA_025145285.1,anthropogenic terrestrial biome,3
s__Leclercia_adecarboxylata--GB_GCA_901472455.1,watercourse,1
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,terrestrial biome,2
s__Vibrio_vulnificus--RS_GCF_002224265.1,brackish water,3
s__Prevotella_copri_B--RS_GCF_009494135.1,feces,1
s__Klebsiella_variicola--RS_GCF_000828055.2,woodland area,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,intestine,1
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,milk,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,,7
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,liquid water,4
s__Lactobacillus_gasseri--RS_GCF_000014425.1,watercourse,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,building,1
s__Leptospira_interrogans--RS_GCF_900156205.1,,3
s__Pseudomonas_E_amygdali--RS_GCF_002699855.1,mediterranean biome,1
s__Bacillus_subtilis--RS_GCF_000009045.1,food material,6
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,river water,20
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,environmental system determined by an organism,1
s__Streptococcus_dysgalactiae--RS_GCF_900459225.1,human-associated habitat,1
s__Alistipes_onderdonkii--GB_GCA_025145285.1,digestive system,1
s__Shewanella_algae--RS_GCF_009183365.2,saline marsh,1
s__Curtobacterium_flaccumfaciens--RS_GCF_013359815.1,,24
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,,50
s__Levilactobacillus_brevis--RS_GCF_001433855.1,,13
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,,3
s__Citrobacter_freundii--RS_GCF_011064845.1,sewage,21
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,watercourse,2
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,alimentary part of gastrointestinal system,1
s__Staphylococcus_hominis--RS_GCF_002901845.1,skin environment,3
s__Aeromonas_caviae--RS_GCF_000819785.1,hospital,2
s__Bacillus_velezensis--RS_GCF_001461825.1,agricultural soil,2
s__Faecalibacillus_intestinalis--RS_GCF_003024685.1,terrestrial biome,4
s__Pectobacterium_brasiliense--RS_GCF_000754695.1,agricultural field,2
s__Enterococcus_B_durans--RS_GCF_001544215.1,food material,1
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,alpine,1
s__Enterobacter_kobei--RS_GCF_001729765.1,freshwater biome,1
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,environmental system determined by an organism,1
s__Vibrio_cyclitrophicus--GB_GCA_024347435.1,biofilm,1
s__Clostridium_F_botulinum--RS_GCF_001276985.1,feces,1
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,feces,1
s__Gemmiger_formicilis--RS_GCF_900167555.1,,9
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,,34
s__Prochlorococcus_A_sp000635495--GB_GCA_000635495.1,ocean biome,6
s__Rhizobium_laguerreae--RS_GCF_002008165.1,mountain,2
s__Bacteroides_ovatus--RS_GCF_001314995.1,biome,1
s__Clostridium_butyricum--RS_GCF_006742065.1,biome,1
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,root,2
s__Bacillus_velezensis--RS_GCF_001461825.1,forested area,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,anthropogenic terrestrial biome,1
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,habitat,1
s__Borreliella_garinii--RS_GCF_001922545.1,terrestrial biome,51
s__Rhodococcus_equi--RS_GCF_002094305.1,terrestrial biome,1
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,tissue paper,6
s__Klebsiella_grimontii--RS_GCF_900200035.1,freshwater biome,9
s__Staphylococcus_warneri--RS_GCF_900636385.1,human-associated habitat,1
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,human-associated habitat,5
s__Bacillus_A_anthracis--RS_GCF_000742895.1,lake,1
s__Micrococcus_luteus--RS_GCF_000023205.1,ocean,1
s__Pseudomonas_E_monteilii--RS_GCF_000730605.1,sewage,1
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,field,1
s__Pseudomonas_E_monteilii--RS_GCF_000730605.1,sandy desert,1
s__Enterobacter_cloacae--RS_GCF_000025565.1,nest of ant,1
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,biome,1
s__Streptococcus_thermophilus--RS_GCF_010120595.1,food product,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,dairy food product,6
s__Curtobacterium_flaccumfaciens--RS_GCF_013359815.1,saline lake,4
s__Klebsiella_aerogenes--RS_GCF_000215745.1,biome,1
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,fecal environment,1
s__Lactobacillus_gasseri--RS_GCF_000014425.1,feces,2
s__Akkermansia_sp004167605--RS_GCF_004167605.1,human-associated habitat,1
s__Listeria_monocytogenes--RS_GCF_900187225.1,vertebrate animal,1
s__Bacillus_pumilus--RS_GCF_900186955.1,biome,75
s__Acinetobacter_pittii--RS_GCF_000369045.1,biome,20
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,digestive system,6
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,Homo sapiens,17
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,terrestrial biome,3
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,feces,2
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,habitat,1
s__Prevotella_copri_A--RS_GCF_002224675.1,terrestrial biome,2
s__Bacillus_A_mycoides--RS_GCF_000832605.1,soil,1
s__Bacillus_A_cereus--RS_GCF_000007825.1,forested area,1
s__Citrobacter_portucalensis--RS_GCF_002042885.1,waste water,1
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,vertebrate animal,1
s__Phocaeicola_dorei--RS_GCF_013009555.1,forest biome,1
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,woodland area,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,,15
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,biome,6
s__Cutibacterium_acnes--RS_GCF_003030305.1,Homo sapiens,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,food material,2
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,food material,3
s__Vibrio_cholerae--RS_GCF_000621645.1,human-associated habitat,1
s__Pasteurella_multocida--RS_GCF_900187275.1,vertebrate animal,1
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,biome,1
s__Bacillus_velezensis--RS_GCF_001461825.1,marsh,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,watercourse,3
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,Homo sapiens,11
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,human-associated habitat,3
s__Xanthomonas_campestris--RS_GCF_000007145.1,plant-associated habitat,1
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,intestine environment,1
s__Brucella_melitensis--RS_GCF_000007125.1,sandy desert,1
s__Dickeya_dianthicola--RS_GCF_000365305.1,field,4
s__Rhizobium_leguminosarum_L--RS_GCF_000009265.1,forest biome,1
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,sewage,3
s__Klebsiella_grimontii--RS_GCF_900200035.1,soil,2
s__Bacillus_altitudinis--RS_GCF_000691145.1,fresh water,1
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,terrestrial biome,1
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,Homo sapiens,1
s__Aggregatibacter_actinomycetemcomitans--RS_GCF_000372365.1,subgingival dental plaque,1
s__Burkholderia_vietnamiensis--RS_GCF_000959445.1,rice field,3
s__Bacillus_velezensis--RS_GCF_001461825.1,vegetable,1
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,Homo sapiens,8
s__Pantoea_agglomerans--RS_GCF_001598475.1,soil,2
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,human-associated habitat,1
s__Aeromonas_caviae--RS_GCF_000819785.1,liquid water,1
s__Xylella_fastidiosa--RS_GCF_011801475.1,vineyard,2
s__Fimenecus_sp000432435--GB_GCA_000432435.1,Homo sapiens,26
s__Agrobacterium_pusense--RS_GCF_900102105.1,,7
s__Sulfitobacter_mediterraneus--RS_GCF_003054325.1,,3
s__Staphylococcus_lugdunensis--RS_GCF_002901705.1,,1
s__Staphylococcus_pseudintermedius--RS_GCF_001792775.2,,3
s__Bacteroides_ovatus--RS_GCF_001314995.1,watercourse,28
s__Enterococcus_B_lactis--RS_GCF_015751045.1,feces,2
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,human-associated habitat,3
s__Leclercia_adecarboxylata--GB_GCA_901472455.1,sludge,2
s__Bifidobacterium_globosum--RS_GCF_000741295.1,human-associated habitat,2
s__Pantoea_agglomerans--RS_GCF_001598475.1,subpolar coniferous forest biome,1
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,human-associated habitat,1
s__Helicobacter_pylori_C--RS_GCF_000277405.1,human-associated habitat,1
s__Enterobacter_cloacae--RS_GCF_000025565.1,terrestrial biome,1
s__Alistipes_putredinis--RS_GCF_000154465.1,human-associated habitat,26
s__Bacillus_A_cereus--RS_GCF_000007825.1,sandy desert,1
s__Bacteroides_fragilis--RS_GCF_000025985.1,habitat,1
s__Wolbachia_pipientis--RS_GCF_021378375.1,terrestrial biome,1
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,terrestrial biome,3
s__Enterococcus_B_lactis--RS_GCF_015751045.1,Chondrichthyes,1
s__Bacillus_subtilis--RS_GCF_000009045.1,field soil,1
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,milk,2
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,terrestrial biome,2
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,environmental system determined by an organism,1
s__Haemophilus_influenzae--RS_GCF_001457655.1,,26
s__Vibrio_cholerae--RS_GCF_000621645.1,coast,90
s__Anaerostipes_hadrus--RS_GCF_000332875.2,biome,1
s__Clostridium_AQ_innocuum--RS_GCF_012317185.1,terrestrial biome,4
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,soil,1
s__Campylobacter_D_coli--RS_GCF_000254135.1,village biome,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,feces,2
s__Fimenecus_sp000432435--GB_GCA_000432435.1,microcosm,1
s__Bacillus_velezensis--RS_GCF_001461825.1,woodland area,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,rice field,1
s__Bifidobacterium_globosum--RS_GCF_000741295.1,watercourse,1
s__Phocaeicola_dorei--RS_GCF_013009555.1,habitat,1
s__Latilactobacillus_sakei--RS_GCF_002370355.1,day,1
s__Lactobacillus_crispatus--RS_GCF_018987235.1,alimentary part of gastrointestinal system,1
s__Enterococcus_B_hirae--RS_GCF_000271405.2,agricultural process,10
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,forest biome,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,soil,3
s__Pantoea_agglomerans--RS_GCF_001598475.1,temperate woodland biome,16
s__Streptococcus_agalactiae--RS_GCF_000186445.1,human-associated habitat,1
s__Achromobacter_xylosoxidans--RS_GCF_001457475.1,human-associated habitat,1
s__Phocaeicola_dorei--RS_GCF_013009555.1,biome,24
s__Pseudomonas_E_tremae--RS_GCF_001401155.1,mangrove swamp,2
s__Staphylococcus_capitis--RS_GCF_002902325.1,terrestrial biome,2
s__Enterococcus_B_faecium--RS_GCF_001544255.1,human-associated habitat,3
s__Klebsiella_michiganensis--RS_GCF_002925905.1,sewage,5
s__Pectobacterium_brasiliense--RS_GCF_000754695.1,field,1
s__Parabacteroides_merdae--GB_GCA_025151215.1,digestive system,1
s__Priestia_megaterium--RS_GCF_000832985.1,watercourse,1
s__Staphylococcus_capitis--RS_GCF_002902325.1,hospital,1
s__Bacillus_subtilis--RS_GCF_000009045.1,Homo sapiens,1
s__Acinetobacter_junii--RS_GCF_000368765.1,,34
s__Bacteroides_caccae--RS_GCF_002222615.2,biome,28
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,gingiva,12
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,feces,1
s__Alistipes_putredinis--RS_GCF_000154465.1,Homo sapiens,3
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,dairy food product,1
s__Streptococcus_salivarius--RS_GCF_000785515.1,watercourse,2
s__Citrobacter_B_koseri--GB_GCA_900446925.1,companion animal,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,plant root food product,2
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,feces,2
s__Parabacteroides_distasonis--RS_GCF_000012845.1,forest biome,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,Drosophila melanogaster,1
s__Staphylococcus_xylosus--RS_GCF_002732165.1,environmental system determined by an organism,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,feces,1
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,terrestrial biome,7
s__Acinetobacter_pittii--RS_GCF_000369045.1,Homo sapiens,10
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,terrestrial biome,4
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,biome,4
s__Parabacteroides_merdae--GB_GCA_025151215.1,feces,2
s__Enterococcus_B_faecium--RS_GCF_001544255.1,feces,1
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,terrestrial biome,2
s__Bifidobacterium_longum--RS_GCF_000196555.1,,106
s__Clostridium_beijerinckii--RS_GCF_018223745.1,,178
s__Dickeya_dianthicola--RS_GCF_000365305.1,,24
s__Bifidobacterium_infantis--RS_GCF_000269965.1,,41
s__Escherichia_marmotae--RS_GCF_002900365.1,companion animal,3
s__Enterococcus_B_faecium--RS_GCF_001544255.1,agricultural process,2
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,Homo sapiens,2
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,grassland biome,7
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,alpine,1
s__Lactococcus_lactis--RS_GCF_900099625.1,watercourse,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,habitat,1
s__Mycobacterium_intracellulare--RS_GCF_000277125.1,Homo sapiens,1
s__Levilactobacillus_brevis--RS_GCF_001433855.1,food material,2
s__Weissella_confusa--GB_GCA_001436895.1,milk,1
s__Klebsiella_variicola--RS_GCF_000828055.2,feces,1
s__Bacteroides_fragilis--RS_GCF_000025985.1,zoological garden,12
