feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS16600,,,Thiol:disulfide interchange protein DsbC,Thiol:disulfide interchange protein,"Predicted thiol–disulfide interchange protein of the DsbC/DsbG family (thioredoxin-like disulfide bond isomerase), likely catalyzing rearrangement/repair of incorrect disulfide bonds in extracytoplasmic proteins.",specific,specific,specific,other_specific,RAST,Thiol:disulfide interchange protein DsbC
ACIAD_RS16595,,,putative membrane protein,Transglycosylase associated protein,"Predicted transglycosylase-associated protein, likely an accessory factor for peptidoglycan glycosyltransferase (cell wall) synthesis.",specific,specific,specific,uninformative,Agent,"Predicted transglycosylase-associated protein, likely an accessory factor for peptidoglycan glycosyltransferase (cell wall) synthesis."
ACIAD_RS16590,,hpt,Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8),hypoxanthine phosphoribosyltransferase,"Hypoxanthine-guanine phosphoribosyltransferase (Hpt/HPRT) involved in purine salvage, catalyzing phosphoribosylation of hypoxanthine/guanine with PRPP to form IMP/GMP.",specific,specific,specific,enzyme,RAST,Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
ACIAD_RS16585,,guaD,Guanine deaminase (EC 3.5.4.3),guanine deaminase,"Metal-dependent guanine deaminase (amidohydrolase family) likely involved in purine catabolism/salvage by converting guanine to xanthine; mutants show strong fitness defects under oxidative/nitrosative stresses (e.g., chlorite/nitrite) and fitness patterns that track aerobic respiratory genes (cytochrome bo3 ubiquinol oxidase), consistent with a role linking purine metabolism to redox/respiratory fitness.",specific,specific,specific,enzyme,RAST,Guanine deaminase (EC 3.5.4.3)
ACIAD_RS16580,,,nucleotidyltransferase family protein,Nucleotidyltransferase family protein,"Predicted nucleotidyltransferase family protein, likely catalyzing transfer of nucleotide moieties to an acceptor substrate.",specific,specific,specific,enzyme,RAST,nucleotidyltransferase family protein
ACIAD_RS16575,ACIAD3666,terC,Alkaline induced inner membrane protein Alx,TerC family protein,"TerC family integral membrane protein (riboswitch-associated), putatively involved in tellurite resistance and/or membrane metal-ion homeostasis/transport.",specific,specific,specific,other_specific,RAST,Alkaline induced inner membrane protein Alx
ACIAD_RS16570,ACIAD3665,,"Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance",undecaprenyl-diphosphate phosphatase,Putative UppP/BacA-family undecaprenyl-diphosphate phosphatase (PAP2 lipid phosphatase) that recycles undecaprenyl phosphate for cell-envelope/peptidoglycan biosynthesis and contributes to growth and antibiotic stress tolerance.,specific,specific,specific,enzyme,RAST,"Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance"
ACIAD_RS16565,,mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-),UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,ATP-dependent UDP-MurNAc peptide ligase (MurC/MurD/MurE/MurF-family) involved in cytoplasmic synthesis of peptidoglycan precursors for cell wall biogenesis.,specific,specific,specific,enzyme,RAST,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)
ACIAD_RS16560,ACIAD3662,,Uncharacterized membrane protein PA1577,Transmembrane signal peptide protein,Conserved DUF486 family protein likely associated with phosphonate uptake/catabolism operons (co-localized with phosphonate transporter components and phosphonoacetaldehyde hydrolase PhnX) and contributing to optimal growth and stress tolerance.,specific,specific,specific,hypothetical,RAST,Uncharacterized membrane protein PA1577
ACIAD_RS16550,,purE,N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18),N5-carboxyaminoimidazole ribonucleotide mutase,"N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) mutase (PurE), catalyzing the CAIR rearrangement step in de novo purine (IMP) biosynthesis.",specific,specific,specific,enzyme,RAST,N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)
ACIAD_RS16545,,,N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18),5-(carboxyamino)imidazole ribonucleotide synthase,"ATPase subunit (PurK) of phosphoribosylaminoimidazole carboxylase (AIR carboxylase), required for the ATP-dependent carboxylation step of de novo purine (IMP) biosynthesis.",specific,specific,specific,enzyme,RAST,N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)
ACIAD_RS16540,,,Membrane-bound lytic murein transglycosylase B,Putative membrane-bound lytic murein transglycosylase,Membrane-bound lytic murein transglycosylase (SLT/LtgB-like) likely involved in peptidoglycan cleavage and cell wall remodeling during growth and division.,specific,specific,specific,other_specific,RAST,Membrane-bound lytic murein transglycosylase B
ACIAD_RS16535,ACIAD3656,,hypothetical protein,Phosphatase,,hypothetical,specific,missing,hypothetical,Bakta,Phosphatase
ACIAD_RS16530,,dnaK,Chaperone protein DnaK,molecular chaperone DnaK,ATP-dependent Hsp70 family molecular chaperone DnaK that assists folding/refolding of proteins and stress tolerance via ATPase-driven substrate binding/release.,specific,specific,specific,other_specific,RAST,Chaperone protein DnaK
ACIAD_RS16525,,grpE,Heat shock protein GrpE,nucleotide exchange factor GrpE,"GrpE-family nucleotide exchange factor for the DnaK/Hsp70 chaperone system, promoting release of ADP from DnaK and supporting protein folding during stress and growth.",specific,specific,specific,other_specific,RAST,Heat shock protein GrpE
ACIAD_RS16520,,lysR,"Transcriptional regulator clustered with PA0057, LysR family",LysR family transcriptional regulator,"LysR-family transcriptional regulator with N-terminal winged helix-turn-helix DNA-binding domain and C-terminal substrate/effector-binding domain, likely regulating transcription in response to a small-molecule ligand.",specific,specific,specific,regulator,RAST,"Transcriptional regulator clustered with PA0057, LysR family"
ACIAD_RS16515,,,Metallo-beta-lactamase superfamily protein PA0057,Metallo-beta-lactamase domain-containing protein,"Predicted metallo-β-lactamase–superfamily metal-dependent hydrolase (ribonuclease Z/glyoxalase II-like), likely functioning as a nuclease/esterase rather than a β-lactamase.",specific,specific,specific,other_specific,RAST,Metallo-beta-lactamase superfamily protein PA0057
ACIAD_RS16510,ACIAD3649,,hypothetical protein,Lipoprotein,"Cyanophycin-associated protein (cphX-like), likely involved in cyanophycin nitrogen-storage polymer synthesis/accumulation and impacting growth on diverse carbon sources and stress conditions.",hypothetical,specific,specific,hypothetical,Bakta,Lipoprotein
ACIAD_RS16505,,,Esterase/lipase,Carboxylesterase (ALI-esterase) (B-esterase) (MONOBUTYRASE) (Cocaine esterase) (PROCAINE esterase) (METHYLBUTYRASE),"Putative alpha/beta-hydrolase (GDXG lipolytic enzyme family), likely acting as an esterase/lipase.",specific,specific,specific,enzyme,RAST,Esterase/lipase
ACIAD_RS16500,,rotA,Peptidyl-prolyl cis-trans isomerase PpiA precursor (EC 5.2.1.8),Peptidyl-prolyl cis-trans isomerase,"Cyclophilin-type peptidyl-prolyl cis-trans isomerase (PPIase/rotamase) likely acting as an extracytoplasmic protein-folding catalyst that influences envelope/transport functions and stress tolerance (antibiotics, ionic and metal stresses).",specific,specific,specific,enzyme,RAST,Peptidyl-prolyl cis-trans isomerase PpiA precursor (EC 5.2.1.8)
ACIAD_RS16470,,,Intracellular protease,Type 1 glutamine amidotransferase,DJ-1/PfpI family deglycase implicated in detoxification/repair of reactive carbonyl (glycation) damage to proteins.,specific,specific,specific,enzyme,RAST,Intracellular protease
ACIAD_RS16465,ACIAD3645,,putative protein;putative zinc-binding peptidase,Zinc-ribbon domain-containing protein,Putative zinc-binding metallopeptidase (UCP012641 family) with an N-terminal bacterial zinc-ribbon domain.,specific,specific,specific,enzyme,RAST,putative protein;putative zinc-binding peptidase
ACIAD_RS16460,ACIAD3644,,TIGR04219 family outer membrane beta-barrel protein,TIGR04219 family outer membrane beta-barrel protein,"Outer membrane lipoprotein LpoB (YcfM)-family activator of penicillin-binding protein 1B, promoting peptidoglycan cell-wall synthesis and envelope integrity.",specific,specific,specific,other_specific,RAST,TIGR04219 family outer membrane beta-barrel protein
ACIAD_RS16455,,,aldehyde dehydrogenase family protein,Putative aldehyde dehydrogenase,"NAD(P)+-dependent aldehyde dehydrogenase family oxidoreductase (Aldehyde/histidinol dehydrogenase fold) that oxidizes cellular aldehydes to the corresponding carboxylic acids, contributing to tolerance of envelope/metal/oxidative stresses.",specific,specific,specific,enzyme,RAST,aldehyde dehydrogenase family protein
ACIAD_RS16450,ACIAD3641,yocR,"Sodium-dependent transporter, SNF family",Transporter,"Predicted sodium-dependent solute symporter of the sodium:neurotransmitter symporter (NSS/SLC6) superfamily, likely mediating Na+-coupled uptake of small organic molecules (e.g., amino acids/compatible solutes).",specific,specific,specific,transporter,RAST,"Sodium-dependent transporter, SNF family"
ACIAD_RS16900,ACIAD3640,,methionine/alanine import family NSS transporter small subunit,Methionine/alanine importer small subunit,Putative small membrane subunit of a methionine/alanine uptake system (predicted amino acid importer component).,specific,specific,specific,transporter,RAST,methionine/alanine import family NSS transporter small subunit
ACIAD_RS16445,ACIAD3639,zupT,"Metal transporter, ZIP family",zinc transporter ZupT,Predicted ZupT family zinc/iron uptake permease (ZIP-type divalent metal transporter).,specific,specific,specific,transporter,RAST,"Metal transporter, ZIP family"
ACIAD_RS16440,,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176),16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,S-adenosyl-L-methionine–dependent 16S rRNA cytosine-5 methyltransferase (RsmB-like) that modifies the small ribosomal subunit rRNA and supports optimal growth/translation under specific nutrient and stress conditions.,specific,specific,specific,enzyme,RAST,16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)
ACIAD_RS16435,,fmt,Methionyl-tRNA formyltransferase (EC 2.1.2.9),methionyl-tRNA formyltransferase,"Catalyzes N-formylation of initiator Met-tRNA (fMet-tRNA0) using 10-formyltetrahydrofolate, a key step in bacterial translation initiation; mutants show severe fitness defects in defined minimal media across many carbon/nitrogen sources.",specific,specific,specific,enzyme,RAST,Methionyl-tRNA formyltransferase (EC 2.1.2.9)
ACIAD_RS16430,,ilvD,Dihydroxy-acid dehydratase (EC 4.2.1.9),dihydroxy-acid dehydratase,"Branched-chain amino acid biosynthesis enzyme IlvD (dihydroxy-acid dehydratase), catalyzing dehydration of dihydroxy-acid intermediates to ketoacids in isoleucine/valine (and leucine) synthesis.",specific,specific,specific,enzyme,RAST,Dihydroxy-acid dehydratase (EC 4.2.1.9)
ACIAD_RS16425,ACIAD3635,,DSBA-like thioredoxin domain protein,DSBA-like thioredoxin domain-containing protein,"Ubiquinone biosynthesis accessory factor UbiJ (YigP family), a thioredoxin-like protein conserved in ubi gene clusters and likely required for efficient ubiquinone/menaquinone production (e.g., by scaffolding/stabilizing Ubi pathway enzymes at the membrane).",specific,specific,specific,other_specific,RAST,DSBA-like thioredoxin domain protein
ACIAD_RS16420,,,NADH dehydrogenase (EC 1.6.99.3),NADH dehydrogenase II,"Putative alternative NADH dehydrogenase (type II NADH:quinone oxidoreductase), a flavin-dependent oxidoreductase with an FAD/NAD(P)-binding domain implicated in respiratory electron transfer from NADH to quinone.",specific,specific,specific,enzyme,RAST,NADH dehydrogenase (EC 1.6.99.3)
ACIAD_RS16415,ACIAD3630,,putative membrane protein,putative membrane transporter protein,"Predicted TauE-family membrane permease involved in transport of sulfonates/sulfite (e.g., toluenesulfonate/taurine-derived sulfonate), where loss of the transporter can increase fitness under antibiotic and metal stress, consistent with reduced uptake of toxic compounds.",specific,specific,specific,uninformative,Agent,"Predicted TauE-family membrane permease involved in transport of sulfonates/sulfite (e.g., toluenesulfonate/taurine-derived sulfonate), where loss of the transporter can increase fitness under antibiotic and metal stress, consistent with reduced uptake of toxic compounds."
ACIAD_RS16410,,lysR,"Transcriptional regulator BDGL_002924, LysR family",LysR family transcriptional regulator,"LysR-family transcriptional regulator implicated in heavy-metal stress response, required for tolerance to nickel (and other metal/nitrosative stresses).",specific,specific,specific,regulator,RAST,"Transcriptional regulator BDGL_002924, LysR family"
ACIAD_RS16405,,,Pyrimidine permease,Pyrimidine utilization transporter G,Predicted xanthine/uracil nucleobase transporter (NCS2 nucleobase:cation symporter family permease).,specific,specific,specific,transporter,RAST,Pyrimidine permease
ACIAD_RS16400,,ppc,Phosphoenolpyruvate carboxylase (EC 4.1.1.31),phosphoenolpyruvate carboxylase,"Putative DNA damage response/repair protein required for resistance to DNA‑damaging agents (e.g., quinolones, cisplatin, mitomycin C), functionally linked to nucleotide excision repair and homologous recombination pathways.",specific,specific,specific,enzyme,RAST,Phosphoenolpyruvate carboxylase (EC 4.1.1.31)
ACIAD_RS16395,,,"Transcriptional regulator, AcrR family",TetR/AcrR family transcriptional regulator,"TetR-family DNA-binding transcriptional regulator likely controlling expression of the YejABEF/Opp (microcin C–associated oligopeptide ABC transporter), contributing to motility and stress/antibiotic tolerance.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, AcrR family"
ACIAD_RS16390,,,"RND efflux system, membrane fusion protein",Efflux RND transporter periplasmic adaptor subunit,"Periplasmic membrane fusion (adaptor) protein of a tripartite multidrug efflux system (MdtA/CusB-like; likely RND-associated), contributing to tolerance to diverse toxic compounds/antimicrobials.",specific,specific,specific,transporter,RAST,"RND efflux system, membrane fusion protein"
ACIAD_RS16385,,,"RND efflux system, inner membrane transporter",AcrB/AcrD/AcrF family protein,"Predicted RND-family multidrug efflux transporter (AcrB/acriflavin resistance protein), an inner-membrane pump component that exports acriflavin and other toxic compounds via TolC docking domains.",specific,specific,specific,transporter,RAST,"RND efflux system, inner membrane transporter"
ACIAD_RS16380,ACIAD3622,,hypothetical protein,Transmembrane protein,,hypothetical,specific,missing,hypothetical,Bakta,Transmembrane protein
ACIAD_RS16375,ACIAD3621,dnaJ,Chaperone protein DnaJ,molecular chaperone DnaJ,"Type I DnaJ/Hsp40 family co-chaperone; J-domain protein that partners with DnaK to stimulate its ATPase activity and promote protein folding/stress response, with a cysteine-rich (Zn-binding) region and C-terminal peptide-binding domains.",specific,specific,specific,other_specific,RAST,Chaperone protein DnaJ
ACIAD_RS16370,,dapB,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8),4-hydroxy-tetrahydrodipicolinate reductase,"NAD(P)-dependent dihydrodipicolinate reductase (DapB), a key enzyme in the diaminopimelate/lysine biosynthesis pathway supporting growth in defined media.",specific,specific,specific,enzyme,RAST,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
ACIAD_RS16365,ACIAD3618,,START domain-containing protein,START domain-containing protein,"START domain-containing lipid-binding protein (RraA/YceD-like) that supports fitness under multiple stress conditions, including alkaline pH, cold survival, and exposure to translation-inhibiting antibiotics, suggesting a role in cellular envelope/physiological adaptation.",specific,specific,specific,other_specific,RAST,START domain-containing protein
ACIAD_RS16360,ACIAD3617,,Inner membrane transport protein YdhP,MFS transporter,"Putative major facilitator superfamily (MFS) membrane transporter, likely functioning as an efflux/permease for small molecules.",specific,specific,specific,transporter,RAST,Inner membrane transport protein YdhP
ACIAD_RS16355,,dkgB,"Methylglyoxal reductase, dihydroxyacetone producing;2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming) (EC 1.1.1.346)","2,5-didehydrogluconate reductase DkgB","Predicted NADPH-dependent aldo-keto reductase/oxidoreductase (AKR family), likely involved in reduction of aldehydes or ketones to corresponding alcohols.",specific,specific,specific,enzyme,RAST,"Methylglyoxal reductase, dihydroxyacetone producing;2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming) (EC 1.1.1.346)"
ACIAD_RS16350,,lysR,"Transcriptional regulator, LysR family",LysR family transcriptional regulator,"LysR-family transcriptional regulator with an N-terminal winged helix-turn-helix DNA-binding domain and C-terminal substrate/effector-binding domain, likely controlling expression of adjacent metabolic genes in response to a small-molecule ligand.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, LysR family"
ACIAD_RS16345,ACIAD3614,,hypothetical protein,Lipoprotein,"Short-chain acyl-CoA dehydrogenase involved in branched-chain amino acid (especially isoleucine) catabolism, likely oxidizing 2-methylbutyryl-/butyryl-CoA in a β-oxidation–like pathway.",hypothetical,specific,specific,hypothetical,Bakta,Lipoprotein
ACIAD_RS16340,,,"DNA-binding transcriptional regulator, MocR family;aminotransferase domain",PLP-dependent aminotransferase family protein,MocR/GntR family HTH-type transcriptional regulator with an N-terminal winged helix DNA-binding domain and a C-terminal pyridoxal phosphate (PLP)-dependent aminotransferase-like effector domain.,specific,specific,specific,enzyme,RAST,"DNA-binding transcriptional regulator, MocR family;aminotransferase domain"
ACIAD_RS16335,,,Alcohol dehydrogenase (EC 1.1.1.1),Alcohol dehydrogenase,"Predicted zinc-dependent NAD(P)-dependent alcohol dehydrogenase/oxidoreductase (cinnamyl alcohol dehydrogenase-like), likely catalyzing reduction/oxidation of aldehydes/alcohols.",specific,specific,specific,enzyme,RAST,Alcohol dehydrogenase (EC 1.1.1.1)
ACIAD_RS16330,,,DNA-3-methyladenine glycosylase (EC 3.2.2.20),"3-methyl-adenine DNA glycosylase I, constitutive",DNA-3-methyladenine glycosylase involved in base excision repair of alkylation-damaged DNA (removes 3-methyladenine and related lesions).,specific,specific,specific,enzyme,RAST,DNA-3-methyladenine glycosylase (EC 3.2.2.20)
ACIAD_RS16325,ACIAD3609,,hypothetical protein,VOC domain-containing protein,Periplasmic MucB/RseB-family envelope-stress regulator that modulates the RpoE/AlgT (sigmaE/σ24) pathway (functionally linked to DegS) and promotes outer-membrane integrity and resistance to cell-envelope stresses.,hypothetical,specific,specific,hypothetical,Bakta,VOC domain-containing protein
ACIAD_RS16320,ACIAD3608,,hypothetical protein,Calcineurin-like phosphoesterase domain-containing protein,"Conserved UPF0250 family protein (YbeD) associated with the lipA-lipB locus and cell-wall/rod-shape genes; required for optimal cell envelope homeostasis and cell division (cofitness with FtsE/FtsX and peptidoglycan hydrolases) and for resistance to diverse stresses (e.g., high nitrate/salts and antibiotics).",hypothetical,specific,specific,hypothetical,Agent,"Conserved UPF0250 family protein (YbeD) associated with the lipA-lipB locus and cell-wall/rod-shape genes; required for optimal cell envelope homeostasis and cell division (cofitness with FtsE/FtsX and peptidoglycan hydrolases) and for resistance to diverse stresses (e.g., high nitrate/salts and antibiotics)."
ACIAD_RS16315,,,"Peptidase, M23/M37 family",M23 family peptidase,"Beta-ketoadipate (3-oxoadipate) succinyl-CoA transferase subunit B (PcaJ/ScoB), a CoA-transferase required for catabolism of protocatechuate/4-hydroxybenzoate–derived aromatics via the beta-ketoadipate pathway (forms 3-oxoadipyl-CoA).",specific,specific,specific,enzyme,RAST,"Peptidase, M23/M37 family"
ACIAD_RS16310,,mutY,A/G-specific adenine glycosylase (EC 3.2.2.-),A/G-specific adenine glycosylase,"A/G-specific adenine DNA glycosylase (MutY) of the base-excision repair pathway, excising adenine mispaired with oxidized guanine (e.g., 8-oxoG) to prevent GC→TA transversions and support fitness under DNA-damaging/oxidative stress conditions.",specific,specific,specific,other_specific,RAST,A/G-specific adenine glycosylase (EC 3.2.2.-)
ACIAD_RS16305,,,HIT family hydrolase,HIT domain-containing protein,"Predicted HIT-family nucleotide hydrolase (Ap4A phosphorylase/diadenosine tetraphosphate hydrolase), likely involved in metabolism of diadenosine polyphosphates.",specific,specific,specific,enzyme,RAST,HIT family hydrolase
ACIAD_RS16300,ACIAD3603,,Dienelactone hydrolase family protein,Dienelactone hydrolase domain-containing protein,"Putative alpha/beta-hydrolase family enzyme of the dienelactone hydrolase/FrsA esterase family, likely functioning as an esterase/lactonase.",specific,specific,specific,enzyme,RAST,Dienelactone hydrolase family protein
ACIAD_RS16895,ACIAD3602,ytjA,UPF0391 membrane protein YtjA,UPF0391 membrane protein ABBFA_000052,"Small DUF1328 family protein in the conserved cdsA (phosphatidate cytidylyltransferase) gene neighborhood, likely contributing to phospholipid/membrane homeostasis and associated stress tolerance.",specific,specific,specific,other_specific,RAST,UPF0391 membrane protein YtjA
ACIAD_RS16290,ACIAD3601,ycgN,UPF0260 protein YcgN,YcgN family cysteine cluster protein,"Conserved small putative metal-chelating protein (UCP006173 family) implicated as an accessory factor in inorganic phosphate uptake/homeostasis, based on conserved genetic linkage/cofitness with phosphate transporter permeases (PstA/PhoT/PitA) and condition-dependent fitness effects during ionic/chemical stresses.",specific,specific,specific,other_specific,RAST,UPF0260 protein YcgN
ACIAD_RS16285,,,Cobalt/zinc/cadmium resistance protein CzcD,Putative Cation efflux system protein,"Cyd operon accessory membrane protein (YbgE/YbgT family) required for cytochrome bd-I ubiquinol oxidase function, contributing to resistance to nitrosative/oxidative stresses (e.g., nitrite and chlorite).",specific,specific,specific,other_specific,RAST,Cobalt/zinc/cadmium resistance protein CzcD
ACIAD_RS16280,,,"Transcriptional regulator, MerR family",Cd(II)/Pb(II)-responsive transcriptional regulator,"MerR-family transcriptional regulator, predicted to bind DNA via MerR-type HTH and mediate heavy-metal (Cd2+/Pb2+)-responsive gene regulation.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, MerR family"
ACIAD_RS16275,,,"PQQ-dependent oxidoreductase, gdhB family",Glucose dehydrogenase,"Putative soluble quinoprotein glucose/sorbosone dehydrogenase (PQQ-dependent), a six-bladed beta-propeller enzyme likely involved in periplasmic oxidation of glucose or related sugars.",specific,specific,specific,enzyme,RAST,"PQQ-dependent oxidoreductase, gdhB family"
ACIAD_RS16270,,blaADC-8,Class C beta-lactamase (EC 3.5.2.6),ADC-like class C beta-lactamase ADC-8,Class C beta-lactamase (AmpC-like) predicted to hydrolyze beta-lactam antibiotics and contribute to beta-lactam resistance.,specific,specific,specific,enzyme,RAST,Class C beta-lactamase (EC 3.5.2.6)
ACIAD_RS16265,,,Replication-associated recombination protein RarA,Replication-associated recombination protein A,"AAA+ ATPase of the RarA/MgsA (Mgs1/WRNIP1) family, likely involved in DNA replication/repair and replication restart through clamp-loader–like interactions.",specific,specific,specific,other_specific,RAST,Replication-associated recombination protein RarA
ACIAD_RS16260,ACIAD3594,,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),hypothetical protein,"PAS-domain sensory protein with GGDEF and EAL domains, likely a c-di-GMP turnover enzyme (diguanylate cyclase/phosphodiesterase) that regulates biofilm formation/maintenance.",specific,hypothetical,specific,enzyme,RAST,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
ACIAD_RS16255,ACIAD3593,,Putative transport,Formate/nitrite transporter family protein,Predicted formate/nitrite transporter (FNT family) aquaporin-like membrane channel likely mediating transmembrane diffusion of small anions such as formate and nitrite.,specific,specific,specific,transporter,RAST,Putative transport
ACIAD_RS16250,,,Glutamate transport ATP-binding protein,"Putative amino acid transport protein (ABC superfamily, ATP_bind)","ATP-binding (nucleotide-binding) subunit of an ABC-type amino acid importer, MetN/HisP family, likely involved in methionine uptake.",specific,specific,specific,transporter,RAST,Glutamate transport ATP-binding protein
ACIAD_RS16245,ACIAD3591,,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)","Putative amino acid transport protein (ABC superfamily, membrane)","ABC-type amino acid transporter permease (MetI-like 3-TM subunit), likely involved in uptake of alanine/other D-amino acids for catabolism.",specific,specific,specific,transporter,RAST,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
