orgId	locusId	desc	annotation_class	max_abs_fit	top_condition_class	top_condition_fit	n_specific_phenotypes	n_condition_classes	gene_cluster_id	is_core	is_auxiliary	module	module_prediction	OG_id	og_n_organisms	essentiality_class	is_essential_dark	essential_prediction	n_domains	domain_names	top_cofit_partners	top_cofit_score	s_fitness	s_conservation	s_inference	s_pangenome	s_biogeographic	s_tractability	total_score	functional_hypothesis	hypothesis_confidence	suggested_experiment
Marino	GFF1367	conserved hypothetical protein	hypothetical	5.712205	stress	5.712205	3	1.0	NZ_CP076686.1_2143	True	False	M013	PF00270	OG04658	29.0	variably_essential	False		1.0	IMS			0.75	0.6	0.7	0.5	0.0	0.85	0.6074999999999999	Module prediction: PF00270 | Domain hits: IMS | Strong fitness under: stress	high	RB-TnSeq validation in Marino; targeted assay under stress conditions; test predicted function (PF00270)
MR1	202474	conserved hypothetical protein (NCBI ptt file)	hypothetical	7.1395607	carbon source	7.1395607	3	2.0	NC_004347.2_3151	True	False	M004	PF00460	OG02985	19.0	variably_essential	False		1.0	YggL_50S_bp			0.75	0.6	0.7	0.5	0.0	0.85	0.6074999999999999	Module prediction: PF00460 | Domain hits: YggL_50S_bp | Strong fitness under: carbon source	high	RB-TnSeq validation in MR1; targeted assay under carbon source conditions; test predicted function (PF00460)
pseudo5_N2C3_1	AO356_17245	hypothetical protein	hypothetical	3.5553362	stress	3.5553362	4	2.0	NZ_JACNDD010000153.1_1	True	False	M015	K00763	OG00098	44.0	variably_essential	False		4.0	Biotin_lipoyl_2 | HlyD_D23 | HlyD_3			0.7444170250000001	0.6	0.7	0.5	0.0	0.85	0.60610425625	Module prediction: K00763 | Domain hits: Biotin_lipoyl_2 | HlyD_D23 | HlyD_3 | Strong fitness under: stress	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under stress conditions; test predicted function (K00763)
pseudo5_N2C3_1	AO356_08210	hypothetical protein	hypothetical	3.978839	stress	3.978839	4	2.0	NZ_JACNDQ010000003.1_513	True	False	M014	K03808	OG06754	11.0	never_essential	False		4.0	DUF3426 | zinc_ribbon_5 | zinc_ribbon_4			0.797354875	0.5291666666666667	0.7	0.5	0.0	0.85	0.6051720520833332	Module prediction: K03808 | Domain hits: DUF3426 | zinc_ribbon_5 | zinc_ribbon_4 | Strong fitness under: stress	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under stress conditions; test predicted function (K03808)
MR1	203720	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.537897	nitrogen source	4.537897	4	2.0	NC_004347.2_4320	True	False			OG01382	29.0	variably_essential	False		1.0	Ser_hydrolase	chaperone protein HscA (NCBI ptt file) | esterase, putative (NCBI ptt file) | trigger factor (NCBI ptt file)	0.577841658522143	0.7999999999999999	0.6	0.55	0.5	0.0	1.0	0.6049999999999999	Domain hits: Ser_hydrolase | Strong fitness under: nitrogen source | Co-fitness partners: chaperone protein HscA (NCBI ptt file) | esterase, putative (NCBI ptt file) | trigger factor (NCBI ptt file)	medium	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions
Putida	PP_0765	conserved exported protein of unknown function	uncharacterized	4.0637174	carbon source	4.0637174	5	1.0	NZ_NBWA01000007.1_52	False	True	M034	PF00196	OG00534	19.0	never_essential	False		1.0	DUF1302			0.85	0.6	0.7	0.4	0.25	0.44999999999999996	0.6025	Module prediction: PF00196 | Domain hits: DUF1302 | Strong fitness under: carbon source	high	RB-TnSeq validation in Putida; targeted assay under carbon source conditions; test predicted function (PF00196)
MR1	203026	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.4892945	carbon source	3.4892945	6	2.0	NC_004347.2_3677	True	False			OG01284	39.0	variably_essential	False		1.0	AFG1_ATPase	methylcitrate synthase (NCBI ptt file) | DNA-binding response regulator, LuxR family (NCBI ptt file) | transcriptional regulator. GntR family (NCBI ptt file)	0.797484309109786	0.7861618125	0.6	0.55	0.5	0.0	1.0	0.6015404531249999	Domain hits: AFG1_ATPase | Strong fitness under: carbon source | Co-fitness partners: methylcitrate synthase (NCBI ptt file) | DNA-binding response regulator, LuxR family (NCBI ptt file) | transcriptional regulator. GntR family (NCBI ptt file)	medium	RB-TnSeq validation in MR1; targeted assay under carbon source conditions
MR1	203631	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.512843	stress	4.512843	5	1.0	NZ_CP053946.1_328	True	False	M013	PF01145	OG05347	14.0	never_essential	False						0.85	0.5916666666666667	0.55	0.5	0.0	0.85	0.6008333333333332	Module prediction: PF01145 | Strong fitness under: stress	medium	RB-TnSeq validation in MR1; targeted assay under stress conditions; test predicted function (PF01145)
Keio	18268	orf, hypothetical protein (VIMSS)	hypothetical	2.9570856	carbon source	2.9570856	6	3.0	NZ_JAATUR010000006.1_103	True	False	M013	PF02653	OG01172	46.0	variably_essential	False		2.0	Ribonuc_L-PSP | TIGR00004			0.7196357	0.6	0.7	0.5	0.0	0.85	0.5999089249999999	Module prediction: PF02653 | Domain hits: Ribonuc_L-PSP | TIGR00004 | Strong fitness under: carbon source	high	RB-TnSeq validation in Keio; targeted assay under carbon source conditions; test predicted function (PF02653)
MR1	201809	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.448241	stress	4.448241	6	1.0	NC_004347.2_2481	True	False			OG04264	10.0	never_essential	False		2.0	PG_binding_3 | Glyco_hydro_108	prophage MuSo2, positive regulator of late transcription, putative (NCBI ptt file) | conserved hypothetical protein (NCBI ptt file) | conserved hypothetical protein (NCBI ptt file)	0.915522214927834	0.85	0.5083333333333333	0.55	0.5	0.0	1.0	0.5991666666666667	Domain hits: PG_binding_3 | Glyco_hydro_108 | Strong fitness under: stress | Co-fitness partners: prophage MuSo2, positive regulator of late transcription, putative (NCBI ptt file) | conserved hypothetical protein (NCBI ptt file) | conserved hypothetical protein (NCBI ptt file)	medium	RB-TnSeq validation in MR1; targeted assay under stress conditions
Keio	16530	orf, hypothetical protein (VIMSS)	hypothetical	2.930667	stress	2.930667	6	1.0	NZ_JALMSS010000003.1_148	True	False	M034	PF00270	OG03345	22.0	variably_essential	False		3.0	Dyp_perox_C | Dyp_perox_N | TIGR01413			0.7163333749999999	0.6	0.7	0.5	0.0	0.85	0.5990833437499999	Module prediction: PF00270 | Domain hits: Dyp_perox_C | Dyp_perox_N | TIGR01413 | Strong fitness under: stress	high	RB-TnSeq validation in Keio; targeted assay under stress conditions; test predicted function (PF00270)
MR1	199559	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.8838415	nitrogen source	3.8838415	6	2.0	NC_004347.2_339	True	False	M028	PF01380	OG06025	7.0	never_essential	False		1.0	APH			0.8354801875	0.4458333333333333	0.7	0.5	0.0	0.85	0.5980367135416665	Module prediction: PF01380 | Domain hits: APH | Strong fitness under: nitrogen source	high	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions; test predicted function (PF01380)
MR1	202608	conserved hypothetical protein (NCBI ptt file)	hypothetical	7.3104925	carbon source	7.3104925	3	2.0	NC_004347.2_3284	True	False	M028	PF01380	OG01399	12.0	never_essential	False		1.0	BcrAD_BadFG			0.75	0.55	0.7	0.5	0.0	0.85	0.5974999999999999	Module prediction: PF01380 | Domain hits: BcrAD_BadFG | Strong fitness under: carbon source	high	RB-TnSeq validation in MR1; targeted assay under carbon source conditions; test predicted function (PF01380)
pseudo5_N2C3_1	AO356_01105	hypothetical protein	hypothetical	3.704994	carbon source	3.704994	4	1.0	NZ_PPRZ01000096.1_22	True	False	M012	TIGR01726	OG03063	11.0	never_essential	False		2.0	DUF1338 | DUF1338_N			0.7631242500000001	0.5291666666666667	0.7	0.5	0.0	0.85	0.5966143958333333	Module prediction: TIGR01726 | Domain hits: DUF1338 | DUF1338_N | Strong fitness under: carbon source	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under carbon source conditions; test predicted function (TIGR01726)
MR1	202208	conserved hypothetical protein (NCBI ptt file)	hypothetical	2.8130062	carbon source	2.8130062	7	3.0	NC_004347.2_2886	True	False	M007	K07114	OG02587	28.0	variably_essential	False		1.0	DUF58			0.701625775	0.6	0.7	0.5	0.0	0.85	0.59540644375	Module prediction: K07114 | Domain hits: DUF58 | Strong fitness under: carbon source	high	RB-TnSeq validation in MR1; targeted assay under carbon source conditions; test predicted function (K07114)
Keio	17261	orf, hypothetical protein (VIMSS)	hypothetical	9.72719	stress	9.72719	2	1.0	NZ_JALMSS010000008.1_77	True	False	M004	PF00005	OG01029	40.0	variably_essential	False		1.0	BolA			0.7	0.6	0.7	0.5	0.0	0.85	0.5949999999999999	Module prediction: PF00005 | Domain hits: BolA | Strong fitness under: stress	high	RB-TnSeq validation in Keio; targeted assay under stress conditions; test predicted function (PF00005)
MR1	200452	conserved hypothetical protein (NCBI ptt file)	hypothetical	6.8583145	nitrogen source	6.8583145	2	2.0	NC_004347.2_1197	True	False	M002	PF00528	OG00189	44.0	variably_essential	False		2.0	DAO | NAD_binding_8			0.7	0.6	0.7	0.5	0.0	0.85	0.5949999999999999	Module prediction: PF00528 | Domain hits: DAO | NAD_binding_8 | Strong fitness under: nitrogen source	high	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions; test predicted function (PF00528)
pseudo5_N2C3_1	AO356_09635	hypothetical protein	hypothetical	4.6973	carbon source	4.6973	2	1.0	NZ_JACNDT010000003.1_241	True	False	M003	PF01979	OG02227	27.0	variably_essential	False		1.0	HutD			0.7	0.6	0.7	0.5	0.0	0.85	0.5949999999999999	Module prediction: PF01979 | Domain hits: HutD | Strong fitness under: carbon source	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under carbon source conditions; test predicted function (PF01979)
Marino	GFF287	protein of unknown function YGGT	uncharacterized	2.7851112	stress	2.7851112	7	1.0	JANSXQ010000012.1_12	True	False	M017	PF01145	OG01937	32.0	variably_essential	False		1.0	YGGT			0.6981388999999999	0.6	0.7	0.5	0.0	0.85	0.5945347249999999	Module prediction: PF01145 | Domain hits: YGGT | Strong fitness under: stress	high	RB-TnSeq validation in Marino; targeted assay under stress conditions; test predicted function (PF01145)
Marino	GFF3678	conserved hypothetical protein	hypothetical	4.020039	stress	4.020039	5	1.0	NC_017506.1_3600	True	False	M036	K00655	OG05846	5.0	never_essential	False		1.0	DUF3581			0.85	0.4041666666666667	0.7	0.5	0.0	0.85	0.5933333333333333	Module prediction: K00655 | Domain hits: DUF3581 | Strong fitness under: stress	high	RB-TnSeq validation in Marino; targeted assay under stress conditions; test predicted function (K00655)
Putida	PP_4628	conserved protein of unknown function	uncharacterized	4.668051	carbon source	4.668051	5	1.0	NZ_NNBI01000002.1_787	True	False	M013	PF01144	OG03099	22.0	variably_essential	False		1.0	Flavodoxin_1			0.85	0.6	0.7	0.5	0.0	0.44999999999999996	0.5925	Module prediction: PF01144 | Domain hits: Flavodoxin_1 | Strong fitness under: carbon source	high	RB-TnSeq validation in Putida; targeted assay under carbon source conditions; test predicted function (PF01144)
pseudo3_N2E3	AO353_06515	hypothetical protein	hypothetical	4.2140822	carbon source	4.2140822	9	1.0	NZ_PPSH01000006.1_82	True	False	M015	PF13098	OG00336	33.0	variably_essential	False		1.0	LrgB			0.85	0.6	0.7	0.5	0.0	0.44999999999999996	0.5925	Module prediction: PF13098 | Domain hits: LrgB | Strong fitness under: carbon source	high	RB-TnSeq validation in pseudo3_N2E3; targeted assay under carbon source conditions; test predicted function (PF13098)
Btheta	353429	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.007792	stress	4.007792	11	3.0	GG774704.1_70	True	False	M027	K01847	OG00519	35.0	never_essential	False		2.0	ABC2_membrane_3 | ABC2_membrane			0.85	0.6	0.7	0.5	0.0	0.44999999999999996	0.5925	Module prediction: K01847 | Domain hits: ABC2_membrane_3 | ABC2_membrane | Strong fitness under: stress	high	RB-TnSeq validation in Btheta; targeted assay under stress conditions; test predicted function (K01847)
DvH	209482	conserved hypothetical protein (TIGR)	hypothetical	6.884857	stress	6.884857	12	1.0	NC_008751.1_2439	True	False	M041	PF13533	OG02527	32.0	variably_essential	False		1.0	Cons_hypoth698			0.85	0.6	0.7	0.5	0.0	0.44999999999999996	0.5925	Module prediction: PF13533 | Domain hits: Cons_hypoth698 | Strong fitness under: stress	high	RB-TnSeq validation in DvH; targeted assay under stress conditions; test predicted function (PF13533)
WCS417	GFF1426	hypothetical protein	hypothetical	6.8617253	carbon source	6.8617253	7	1.0	NZ_CP010896.1_1475	True	False	M021	PF00994	OG00569	22.0	variably_essential	False		1.0	BKACE			0.85	0.6	0.7	0.5	0.0	0.44999999999999996	0.5925	Module prediction: PF00994 | Domain hits: BKACE | Strong fitness under: carbon source	high	RB-TnSeq validation in WCS417; targeted assay under carbon source conditions; test predicted function (PF00994)
DvH	209182	conserved hypothetical protein (TIGR)	hypothetical	7.8834624	stress	7.8834624	26	2.0	NC_008751.1_2759	True	False	M023	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	OG01464	30.0	never_essential	False		1.0	Phosphonate-bd			0.85	0.6	0.7	0.5	0.0	0.44999999999999996	0.5925	Module prediction: Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1) | Domain hits: Phosphonate-bd | Strong fitness under: stress	high	RB-TnSeq validation in DvH; targeted assay under stress conditions; test predicted function (Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1))
pseudo5_N2C3_1	AO356_10905	hypothetical protein	hypothetical	5.1875434	stress	5.1875434	3	1.0	NZ_FPJC01000024.1_82	True	False	M014	K03808	OG11678	10.0	never_essential	False		1.0	DUF4105			0.75	0.5083333333333333	0.7	0.5	0.0	0.85	0.5891666666666666	Module prediction: K03808 | Domain hits: DUF4105 | Strong fitness under: stress	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under stress conditions; test predicted function (K03808)
pseudo5_N2C3_1	AO356_12710	hypothetical protein	hypothetical	2.5546892	stress	2.5546892	5	3.0	NZ_FMXV01000009.1_124	True	False	M001	TIGR01720	OG02140	32.0	never_essential	False		2.0	UPF0047 | TIGR00149			0.66933615	0.6	0.7	0.5	0.0	0.85	0.5873340374999999	Module prediction: TIGR01720 | Domain hits: UPF0047 | TIGR00149 | Strong fitness under: stress	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under stress conditions; test predicted function (TIGR01720)
MR1	199636	hypothetical protein (NCBI ptt file)	hypothetical	6.0619483	stress	6.0619483	6	2.0	NZ_CP053946.1_934	True	False			OG05608	7.0	never_essential	False		1.0	ArsP_1	transcriptional regulator, MerR family (NCBI ptt file) | heavy metal efflux pump, CzcA family (NCBI ptt file) | outer membrane efflux family protein, putative (NCBI ptt file)	0.812429088205936	0.85	0.4458333333333333	0.55	0.5	0.0	1.0	0.5866666666666667	Domain hits: ArsP_1 | Strong fitness under: stress | Co-fitness partners: transcriptional regulator, MerR family (NCBI ptt file) | heavy metal efflux pump, CzcA family (NCBI ptt file) | outer membrane efflux family protein, putative (NCBI ptt file)	medium	RB-TnSeq validation in MR1; targeted assay under stress conditions
MR1	203454	hypothetical protein (NCBI ptt file)	hypothetical	2.4920802	stress	2.4920802	5	2.0	NZ_CP053946.1_166	True	False	M010	PF00550	OG01607	26.0	variably_essential	False		1.0	LolA_3			0.661510025	0.6	0.7	0.5	0.0	0.85	0.58537750625	Module prediction: PF00550 | Domain hits: LolA_3 | Strong fitness under: stress	high	RB-TnSeq validation in MR1; targeted assay under stress conditions; test predicted function (PF00550)
DvH	206682	conserved hypothetical protein (TIGR)	hypothetical	3.712728	stress	3.712728	5	4.0	JAEWXM010000065.1_15	True	False	M016	PF14532	OG02233	39.0	variably_essential	False		1.0	MlaC			0.814091	0.6	0.7	0.5	0.0	0.44999999999999996	0.58352275	Module prediction: PF14532 | Domain hits: MlaC | Strong fitness under: stress	high	RB-TnSeq validation in DvH; targeted assay under stress conditions; test predicted function (PF14532)
MR1	202985	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.0395346	stress	4.0395346	1	2.0	NC_004347.2_3638	True	False	M014	PF00873	OG01841	30.0	never_essential	False		1.0	UPF0227			0.65	0.6	0.7	0.5	0.0	0.85	0.5825	Module prediction: PF00873 | Domain hits: UPF0227 | Strong fitness under: stress	high	RB-TnSeq validation in MR1; targeted assay under stress conditions; test predicted function (PF00873)
pseudo5_N2C3_1	AO356_04430	hypothetical protein	hypothetical	5.9547877	stress	5.9547877	1	1.0	NZ_FOVS01000024.1_42	True	False	M036	PF00884	OG00660	26.0	never_essential	False		2.0	Sulfatase | EptA_B_N			0.65	0.6	0.7	0.5	0.0	0.85	0.5825	Module prediction: PF00884 | Domain hits: Sulfatase | EptA_B_N | Strong fitness under: stress	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under stress conditions; test predicted function (PF00884)
pseudo1_N1B4	Pf1N1B4_2130	FIG00953403: hypothetical protein	hypothetical	5.275516	stress	5.275516	1	1.0	NZ_LUKJ01000003.1_2153	True	False	M007	High-affinity choline uptake protein BetT	OG01160	24.0	variably_essential	False		1.0	Cupin_3			0.65	0.6	0.7	0.5	0.0	0.85	0.5825	Module prediction: High-affinity choline uptake protein BetT | Domain hits: Cupin_3 | Strong fitness under: stress	high	RB-TnSeq validation in pseudo1_N1B4; targeted assay under stress conditions; test predicted function (High-affinity choline uptake protein BetT)
Phaeo	GFF1616	Uncharacterized protein conserved in bacteria containing a pentein-type domain	uncharacterized	4.8008823	carbon source	4.8008823	10	2.0	CP081221.1_2908	True	False	M026	PF13412	OG02638	12.0	variably_essential	False		1.0	DDAH_eukar			0.85	0.55	0.7	0.5	0.0	0.44999999999999996	0.5825	Module prediction: PF13412 | Domain hits: DDAH_eukar | Strong fitness under: carbon source	high	RB-TnSeq validation in Phaeo; targeted assay under carbon source conditions; test predicted function (PF13412)
Putida	PP_0766	conserved exported protein of unknown function	uncharacterized	3.6488452	carbon source	3.6488452	5	1.0	NZ_KZ987399.1_4512	True	False	M034	PF00196	OG00459	20.0	never_essential	False		1.0	DUF1329			0.80610565	0.6	0.7	0.5	0.0	0.44999999999999996	0.5815264125	Module prediction: PF00196 | Domain hits: DUF1329 | Strong fitness under: carbon source	high	RB-TnSeq validation in Putida; targeted assay under carbon source conditions; test predicted function (PF00196)
Keio	14528	hypothetical protein (NCBI)	hypothetical	4.3731146	carbon source	4.3731146	14	2.0	NZ_JAATUR010000034.1_28	True	False	M020	PF00361	OG03016	2.0	never_essential	False		1.0	AroM			0.85	0.3416666666666667	0.7	0.5	0.0	0.85	0.5808333333333333	Module prediction: PF00361 | Domain hits: AroM | Strong fitness under: carbon source	high	RB-TnSeq validation in Keio; targeted assay under carbon source conditions; test predicted function (PF00361)
MR1	199597	hypothetical protein (NCBI ptt file)	hypothetical	4.570114	stress	4.570114	5	2.0	NC_004347.2_382	True	False	M010	PF00550	OG05537	2.0	never_essential	False		1.0	DUF4953			0.85	0.3416666666666667	0.7	0.5	0.0	0.85	0.5808333333333333	Module prediction: PF00550 | Domain hits: DUF4953 | Strong fitness under: stress	high	RB-TnSeq validation in MR1; targeted assay under stress conditions; test predicted function (PF00550)
Keio	14308	orf, hypothetical protein (VIMSS)	hypothetical	3.5270445	carbon source	3.5270445	2	1.0	NZ_JAATUR010000035.1_17	True	False	M009	PF01565	OG03473	16.0	never_essential	False		3.0	Diacid_rec | HTH_30 | GGDEF_2			0.6408805625	0.6	0.7	0.5	0.0	0.85	0.580220140625	Module prediction: PF01565 | Domain hits: Diacid_rec | HTH_30 | GGDEF_2 | Strong fitness under: carbon source	high	RB-TnSeq validation in Keio; targeted assay under carbon source conditions; test predicted function (PF01565)
Ponti	CA264_06090	hypothetical protein	hypothetical	4.524848	stress	4.524848	4	1.0	NZ_CP021235.1_1214	True	False	M032	PF13439	OG00380	38.0	variably_essential	False		2.0	DoxX | MauE			0.7999999999999999	0.6	0.7	0.5	0.0	0.44999999999999996	0.58	Module prediction: PF13439 | Domain hits: DoxX | MauE | Strong fitness under: stress	high	RB-TnSeq validation in Ponti; targeted assay under stress conditions; test predicted function (PF13439)
pseudo3_N2E3	AO353_04865	hypothetical protein	hypothetical	7.846789	carbon source	7.846789	4	1.0	NZ_POHG01000045.1_18	True	False	M015	PF13098	OG00711	48.0	variably_essential	False		1.0	EamA			0.7999999999999999	0.6	0.7	0.5	0.0	0.44999999999999996	0.58	Module prediction: PF13098 | Domain hits: EamA | Strong fitness under: carbon source	high	RB-TnSeq validation in pseudo3_N2E3; targeted assay under carbon source conditions; test predicted function (PF13098)
PV4	5210578	hypothetical protein (RefSeq)	hypothetical	7.1671185	carbon source	7.1671185	4	2.0	NZ_CP080418.1_3033	True	False	M023	PF00171	OG03827	31.0	variably_essential	False		1.0	LUD_dom			0.7999999999999999	0.6	0.7	0.5	0.0	0.44999999999999996	0.58	Module prediction: PF00171 | Domain hits: LUD_dom | Strong fitness under: carbon source	high	RB-TnSeq validation in PV4; targeted assay under carbon source conditions; test predicted function (PF00171)
